"","funds_optimal","comp"
"1",1.11669788142841,"T=5"
"2",1,"T=5"
"3",1.41572885182613,"T=5"
"4",1,"T=5"
"5",1,"T=5"
"6",1,"T=5"
"7",1.38024590469823,"T=5"
"8",1.61608645104732,"T=5"
"9",1.19871683386156,"T=5"
"10",1,"T=5"
"11",1.39782372513998,"T=5"
"12",1.45223922570209,"T=5"
"13",1,"T=5"
"14",1,"T=5"
"15",1,"T=5"
"16",1.33768189797202,"T=5"
"17",1,"T=5"
"18",1,"T=5"
"19",1,"T=5"
"20",1.27743726232486,"T=5"
"21",1.3510694628508,"T=5"
"22",1.29386029923403,"T=5"
"23",1,"T=5"
"24",1.5686071088709,"T=5"
"25",1,"T=5"
"26",1.5618906239591,"T=5"
"27",1,"T=5"
"28",1.0926661182342,"T=5"
"29",1.54666719586605,"T=5"
"30",1.05302717906134,"T=5"
"31",1.37570145558101,"T=5"
"32",1,"T=5"
"33",1.50646139443964,"T=5"
"34",1.45276499058752,"T=5"
"35",1.36247786499665,"T=5"
"36",1,"T=5"
"37",1,"T=5"
"38",1.68758012469425,"T=5"
"39",1,"T=5"
"40",1.13075673571402,"T=5"
"41",1.05249412555544,"T=5"
"42",1.4741434440289,"T=5"
"43",1.64856066252247,"T=5"
"44",1,"T=5"
"45",1,"T=5"
"46",1,"T=5"
"47",1.20486579088714,"T=5"
"48",1.67501818348264,"T=5"
"49",1.0098136688703,"T=5"
"50",1.53241670879832,"T=5"
"51",1.31829398003203,"T=5"
"52",1.41203586771525,"T=5"
"53",1,"T=5"
"54",1.46925681535231,"T=5"
"55",1.61581734375111,"T=5"
"56",1,"T=5"
"57",1.10488650544991,"T=5"
"58",1.61842161553571,"T=5"
"59",1,"T=5"
"60",1.16407185654212,"T=5"
"61",1.07068884025387,"T=5"
"62",1,"T=5"
"63",1.55037806148563,"T=5"
"64",1,"T=5"
"65",1,"T=5"
"66",1.55800298181041,"T=5"
"67",1.57175424962317,"T=5"
"68",1.36265205840775,"T=5"
"69",1.4625396277225,"T=5"
"70",1.53348794428928,"T=5"
"71",1.51302804938904,"T=5"
"72",1,"T=5"
"73",1.50682342595681,"T=5"
"74",1,"T=5"
"75",1.07353553312972,"T=5"
"76",1,"T=5"
"77",1.56949874558858,"T=5"
"78",1.2874149042745,"T=5"
"79",1.65333869990263,"T=5"
"80",1,"T=5"
"81",1.17609253544309,"T=5"
"82",1,"T=5"
"83",1.73646910887471,"T=5"
"84",1.06241728448152,"T=5"
"85",1,"T=5"
"86",1.1539551508511,"T=5"
"87",1,"T=5"
"88",1,"T=5"
"89",1.38278586463874,"T=5"
"90",1,"T=5"
"91",1,"T=5"
"92",1.42971230758518,"T=5"
"93",1,"T=5"
"94",1.68843851092631,"T=5"
"95",1.28896101004241,"T=5"
"96",1,"T=5"
"97",1,"T=5"
"98",1.11682573663833,"T=5"
"99",1,"T=5"
"100",1.28858495509774,"T=5"
"101",1.65606442212456,"T=5"
"102",1.27804453562478,"T=5"
"103",1.42221647362238,"T=5"
"104",1,"T=5"
"105",1,"T=5"
"106",1,"T=5"
"107",1.279217083272,"T=5"
"108",1,"T=5"
"109",1.3991693814001,"T=5"
"110",1,"T=5"
"111",1.08725392796004,"T=5"
"112",1,"T=5"
"113",1.61228605670116,"T=5"
"114",1,"T=5"
"115",1,"T=5"
"116",1,"T=5"
"117",1.44553221499735,"T=5"
"118",1.37485283436292,"T=5"
"119",1.7216084605461,"T=5"
"120",1,"T=5"
"121",1,"T=5"
"122",1.39897271535919,"T=5"
"123",1,"T=5"
"124",1.70347356736,"T=5"
"125",1.49070074441835,"T=5"
"126",1,"T=5"
"127",1.2493160333536,"T=5"
"128",1,"T=5"
"129",1.2678603082996,"T=5"
"130",1,"T=5"
"131",1.40055154904659,"T=5"
"132",1,"T=5"
"133",1,"T=5"
"134",1.59655849223577,"T=5"
"135",1.62629636370411,"T=5"
"136",1.51680909385938,"T=5"
"137",1.08428133458977,"T=5"
