"","funds_optimal","comp"
"1",1.7335558566064,"T=1"
"2",1,"T=1"
"3",1,"T=1"
"4",1.75636084661057,"T=1"
"5",1,"T=1"
"6",1.76699749290023,"T=1"
"7",1.74958980488592,"T=1"
"8",1.73914976629673,"T=1"
"9",1.77092300297729,"T=1"
"10",1.75117699115041,"T=1"
"11",1.75072411626003,"T=1"
"12",1.73223761671032,"T=1"
"13",1,"T=1"
"14",1,"T=1"
"15",1,"T=1"
"16",1,"T=1"
"17",1.73295143789495,"T=1"
"18",1.75857158332374,"T=1"
"19",1.76299214190841,"T=1"
"20",1.76497260790277,"T=1"
"21",1.75835053372782,"T=1"
"22",1,"T=1"
"23",1,"T=1"
"24",1.74920493782003,"T=1"
"25",1.7475761561931,"T=1"
"26",1,"T=1"
"27",1,"T=1"
"28",1.74218753339086,"T=1"
"29",1.75700772356927,"T=1"
"30",1,"T=1"
"31",1,"T=1"
"32",1.78273336652079,"T=1"
"33",1.75483754266666,"T=1"
"34",1.75040287887455,"T=1"
"35",1.78898670505613,"T=1"
"36",1.7648296751889,"T=1"
"37",1,"T=1"
"38",1.74040592590057,"T=1"
"39",1.74565019481081,"T=1"
"40",1.77622734279002,"T=1"
"41",1,"T=1"
"42",1.77853407506594,"T=1"
"43",1,"T=1"
"44",1.73475922369603,"T=1"
"45",1,"T=1"
"46",1,"T=1"
"47",1,"T=1"
"48",1.74538556623408,"T=1"
"49",1,"T=1"
"50",1,"T=1"
"51",1.7380206058945,"T=1"
"52",1.7510243992469,"T=1"
"53",1,"T=1"
"54",1.79100139539768,"T=1"
"55",1.76442735520236,"T=1"
"56",1.74587767910646,"T=1"
"57",1,"T=1"
"58",1,"T=1"
"59",1,"T=1"
"60",1.75328636982852,"T=1"
"61",1.73954185074114,"T=1"
"62",1.74211726179213,"T=1"
"63",1,"T=1"
"64",1,"T=1"
"65",1.73474902366096,"T=1"
"66",1.76552253890411,"T=1"
"67",1.76031774368733,"T=1"
"68",1.73736073716588,"T=1"
"69",1,"T=1"
"70",1,"T=1"
"71",1,"T=1"
"72",1,"T=1"
"73",1,"T=1"
"74",1,"T=1"
"75",1.76758446894768,"T=1"
"76",1,"T=1"
"77",1.76317397637835,"T=1"
"78",1.78665069524031,"T=1"
"79",1.77924223106605,"T=1"
"80",1.73404229015769,"T=1"
"81",1.75894046006653,"T=1"
"82",1.75999304790038,"T=1"
"83",1.75740635073352,"T=1"
"84",1,"T=1"
"85",1.74309269602192,"T=1"
"86",1.76773602453651,"T=1"
"87",1,"T=1"
"88",1,"T=1"
"89",1,"T=1"
"90",1.75564346503608,"T=1"
"91",1.74616057581334,"T=1"
"92",1.76334101272648,"T=1"
"93",1.75759972104213,"T=1"
"94",1.73591133272661,"T=1"
"95",1.73755876318243,"T=1"
"96",1.76546913148215,"T=1"
"97",1.73252391410822,"T=1"
"98",1.76658259676177,"T=1"
"99",1.7373834741336,"T=1"
"100",1.75092304640918,"T=1"
"101",1.73320423878896,"T=1"
"102",1.73432945001908,"T=1"
"103",1.76099871824665,"T=1"
"104",1,"T=1"
"105",1.76616399962075,"T=1"
"106",1,"T=1"
"107",1,"T=1"
"108",1.73481971523516,"T=1"
"109",1,"T=1"
"110",1,"T=1"
"111",1,"T=1"
"112",1.76865171419601,"T=1"
"113",1,"T=1"
"114",1,"T=1"
"115",1.7827698503262,"T=1"
"116",1.74710939531392,"T=1"
"117",1.76744435596339,"T=1"
"118",1,"T=1"
"119",1,"T=1"
"120",1,"T=1"
"121",1.77692281975886,"T=1"
"122",1,"T=1"
"123",1.76040410084106,"T=1"
"124",1.73771216529686,"T=1"
"125",1.76545493871431,"T=1"
"126",1.74349702790871,"T=1"
"127",1.73629436422612,"T=1"
"128",1.7505223253539,"T=1"
"129",1.77032423315153,"T=1"
"130",1,"T=1"
"131",1,"T=1"
"132",1.74273937170494,"T=1"
"133",1.73599121180941,"T=1"
"134",1.77812907767066,"T=1"
"135",1.74045335910631,"T=1"
"136",1,"T=1"
"137",1.75457656198868,"T=1"
"138",1,"T=1"
"139",1.76789704980622,"T=1"
"140",1.76539816856935,"T=1"
"141",1.74911935914758,"T=1"
"142",1,"T=1"
"143",1,"T=1"
"144",1,"T=1"
"145",1.76035281308145,"T=1"
"146",1,"T=1"
"147",1.75147828140838,"T=1"
"148",1.74769203746925,"T=1"
"149",1.75627565312559,"T=1"
"150",1.77158784502093,"T=1"
"151",1.75253957142669,"T=1"
"152",1.77356814016738,"T=1"
"153",1,"T=1"
"154",1,"T=1"
"155",1.75479132788745,"T=1"
"156",1.75638533768103,"T=1"
"157",1,"T=1"
"158",1,"T=1"
"159",1.76486715126942,"T=1"
"160",1.75643010045239,"T=1"
"161",1.78030000165149,"T=1"
"162",1,"T=1"
"163",1.76322911093727,"T=1"
"164",1.74514178401475,"T=1"
"165",1.75930774853876,"T=1"
